sentence,count
dragon with scale,1
broom handle near toilet,1
broom handle behind toilet,1
duck has duck foot,1
color reflecting in water,1
duck has left wing,1
sink over faucet,1
pond has reflection,1
right arm of human,1
hair on human,1
roof sections of house,1
headlight in moped,1
grass portion in yard,1
door of a train train,1
window outside building,1
branch to tree,1
abdomen of animal,1
left eye of brown cow,1
cloud going across sky,1
fur on calf,1
drawer of wooden,1
face attached to sheep,1
foot attached to sheep,1
hoof on sheep legs,1
head attached to broccoli,1
faucet has two handle,1
drawer knob mounted on drawer,1
flower in flowers garden,1
hole in bowling ball,1
cement sidewalk near street,1
car has car grill,1
rock near stone wall,1
illustration on shirt,1
guy showing teeth,1
guy has curly hair,1
drawer on bed table,1
leg on folding chair,1
leg of folding chair,1
lamp shade attached to lamp,1
tree limb near adult,1
fridge covered with magnet,1
window panes on building,1
particle near snow,1
ear on baby zebra,1
wheel on roller skates,1
giraffes head on neck,1
brown spot on giraffes neck,1
ear on giraffes head,1
eye on giraffes face,1
nostril on giraffes nose,1
girls hair of girl,1
bicycle seat attached to bike,1
arm in bear,1
ear on girls head,1
desk lamp has shade,1
object on bookshelf,1
beach in water,1
yellow lines painted on black street,1
horn in goat,1
dog bending h paw,1
cliff of mountain,1
bird with cheek,1
back door of car,1
license plate on back door,1
windshield wiper on back door,1
bird with tucked in head,1
thatched roof on building,1
girl pointing eye,1
plant has orange flower,1
arm has armpit hair,1
hair on mans arm pits,1
hair on mans chest,1
leaf near bush,1
room has flooring,1
cow licking ear,1
door near planes wing,1
planes wing on aircraft,1
aircraft with planes wing,1
bull has bulls eye,1
car has door open,1
car with front trunk,1
elephant joining trunk,1
the face of clock white,1
sign board has letter,1
tooth brush with head,1
fat attached to ham,1
paper within book,1
paw closest to cat,1
cup filled with beverage,1
computer screen on wall,1
right ear belonging to giraffe,1
cloud streaming sky,1
cloud sweeping sky,1
car has train windshield,1
leaf alongside tree,1
stair leads to building,1
line going across road,1
window on farmhouse,1
front grill of motor vehicle,1
building in asian city,1
roof above structure,1
tire on motor vehicle,1
bathroom has pipe,1
door built into building,1
bathroom mounted on wall,1
sky beyond cloud,1
blue sky in cloud,1
elephant rest trunk,1
sign with foreign lettering,1
line following road,1
wall in front of structure,1
front windows of engine car,1
shingled roof of building,1
left ear belonging to cow,1
tail belonging to cow,1
moss grows tree,1
door of engine car,1
shoulder has backpack,1
large windows near building,1
front windows in train,1
front belonging to passenger train,1
lead of pencil,1
window on back door,1
light on  back of passenger train,1
car window has car window,1
trunk belonging to tree,1
tail attached to dog,1
water has fish,1
horn on steering wheel,1
person has pink lip,1
little finger on hand,1
giraffe swinging h tail,1
nose tip in cat,1
person in knee,1
paw belongs to bear,1
bear in front has fur,1
front patio in front of house,1
car with car stripe,1
car tire under car,1
zebra with zebra stripes,1
propeller on tip plane,1
end of sidewalk,1
car of wheel,1
post sticking up from fence,1
control knobs of oven,1
ear on black cattle,1
an on train,1
windsheild wiper on window,1
windshield has windsheild wiper,1
girls hair on girl,1
control knobs on oven,1
person displaying hand,1
pedestrian has arm,1
pedestrian has face,1
word on arm,1
oven has control knobs,1
finger of business person,1
street line painted on street,1
ground surrounded grass,1
ear on left of bear,1
ear on right of bear,1
leg on right of bear,1
eye on right of bear,1
eye on left of bear,1
ripple from water,1
bear with bent leg,1
door at front of building,1
license plate has text,1
flower plant in garden,1
cushion of furniture,1
animal has leg bent,1
door knob installed on door,1
building overlooking city,1
elephantleft tusk of elephant,1
elephant eye on elephant,1
elephant tusks near trunk,1
elephant tusks of elephant,1
elephant has elephant tusks,1
left leg belonging to animal,1
persons hair near person,1
section of  green grass,1
wall of hallway,1
the stomach area of animal,1
crack formed in rock,1
right window built into train,1
crest wave in water,1
individual has arm,1
the tusk of animal,1
beak on eagle,1
window into train,1
house in front of road,1
frame at head of bed,1
step to staircase,1
frame at foot of bed,1
tail tail of animal,1
the right back leg of animal,1
the left back leg of animal,1
ear ear of animal,1
the trunk of animal,1
faucet on a,1
skin on exterior of fruit,1
door handle on closet door,1
bear has tiny ears,1
door to enter and exit train,1
animal eye on bear head,1
animal face on bear head,1
animal leg belonging to bear,1
horn part of animal,1
grass part of ground,1
eye in mask,1
bike has a front front wheel,1
tilefloor in bathroom,1
forest on tree,1
handle mounted on appliance door,1
bathtub on toilet,1
wire on house,1
a telephone booth,1
vein attached to leaf,1
palm belonging to hand,1
clock faces on clock,1
handle has luggage,1
headlight for train engine,1
cloud in day,1
rear legs on animal,1
propeller on aiplane,1
fur on body,1
flap of skin,1
cow in ear,1
window near commuter train,1
porch part of building,1
porch in yard,1
windshield wippers on bus,1
square slice of pizza,1
water on beach shore,1
small building on window,1
commercial truck has headlight,1
white flower of weed,1
fence includes pole,1
roof on small building,1
nail on claw,1
shelf of closet,1
glass sitting next to plate,1
cat with paw on window,1
deck of house,1
a grey train car,1
wall in back of room,1
building has first window,1
closet with shelf,1
person as curly hair,1
back of beach chair,1
window on town home,1
car door has open car door,1
car has open car door,1
ceiling covering room,1
wall enclosing room,1
car has closed trunk,1
car seat has head rest,1
mustard applied to hotdog,1
brownwhite giraffe has long neck,1
tongue of mouth,1
text on license plate,1
sidewalk has section,1
water has mud,1
people going up mountain,1
ski boot on foot,1
doorway in door,1
bumper in vehicle,1
pizza topping pizza,1
floor lamp has lamp base,1
glass in plastic,1
left horn of giraffe,1
beach sand on shore,1
face has skin,1
eye on elephant head,1
trunk hanging from elephant cheek,1
wooden dresser has drawer,1
giraffe with h tongue,1
giraffe with h head,1
knothole on tree,1
knob to drawer,1
surface of over water,1
animal on column,1
liscense plate of bus,1
heart on stomach,1
kite with piece,1
leaf on turnip,1
head of baby bear,1
left paw of baby bear,1
foot of baby bear,1
ear of baby bear,1
ocean past wave,1
snow on tree trunk,1
cat with pupil,1
dog passes leg,1
head lamp on truck,1
pole near yard,1
roof on bulding,1
brown spot on giraffes chest,1
horn attached to giraffe,1
column on structure,1
letter on airliner,1
collar has stitching,1
fence next  to house,1
mane in horse,1
head in horse,1
skin on ear,1
end of elephant trunk,1
left wheel on plane,1
sink in faucet,1
toy monkey has ear,1
grapefruit with skin,1
skin of grapefruit,1
windshield on blue truck,1
egg on cake,1
left propeller on plane,1
right propeller on plane,1
nose propeller on plane,1
drawer in bedside table,1
back windshield of bus,1
commuter train with windshield,1
railroad track beneath train,1
the top illuminated light of train,1
window row on bus,1
front tire underneath bus,1
rear tire on right side of bus,1
front tire on right side of bus,1
framed window on building,1
head of tan horse,1
ear in tan horse,1
truck window near truck,1
pipe behind flower,1
long window on train,1
lower window in train,1
beak bird sitting on stem,1
beak belonging to beak bird,1
plane has back wings,1
trunk behind  tree,1
bumper of mack truck,1
windshield of mack truck,1
license plate on mack truck,1
windshield on  bus,1
dog with marking,1
eye on dogs head,1
dog has canine teeth,1
person wears head cover,1
passenger car with window,1
beach near pond,1
bill on head,1
elephant on four,1
toilet lid for tank,1
background person has hair,1
pond near shore,1
yellow on apple,1
left headlight of car,1
person with h elbow,1
staircase has top,1
netting across court,1
street light on car,1
clump on grass,1
eye of brownwhite horse,1
leg of brownwhite horse,1
ripple sits on water,1
hoof of brownwhite horse,1
grass in soil,1
collar on tshirt,1
a dog wearing collar,1
mirror in pickup truck,1
design on womans shirt,1
wood in floor,1
wood chair wood,1
small balcony on building,1
small pane on window,1
wood on top floor,1
glass has pane,1
railroad tracks on road,1
person standing with foot,1
base behind baseball infielder,1
scene in wood,1
leg on mother,1
metal on tree,1
the back wheel of bike,1
the front wheel of bike,1
horse tail of pony,1
plate on license plate,1
passenger door of truck,1
fur on lamb,1
bear with brown nose,1
label stuck on jar,1
person touches mouth,1
basketball net of hoop,1
drawer has object,1
part of a outdoor stairway,1
fence in front yard,1
hair of small child,1
hair covering chest,1
leaf attached to tip,1
horn on gazelles head,1
wiper on rear screen,1
car has roofrack,1
kitty with nose,1
nose on body,1
eye belonging to body,1
tail belonging to body,1
horse on foot,1
blue door near train,1
kickstand of dirtbike,1
track besides train,1
line across city street,1
face has patch,1
gentle waves in ocean,1
berry in fruit,1
cloud not invisible sky,1
truck has small window,1
right shoulder with mole,1
eye sewn on teddy bear,1
tree outside of water,1
root of vegetable,1
eye on head of cow,1
fruit an orange,1
head attached to cow,1
branch of trunk,1
lid on toilet sead,1
hand of little girl,1
penguin has wing,1
penguin has beak,1
blouse of girl,1
ripples in the water on water,1
mountain in picture,1
person covered head,1
many windows on train,1
board on wood,1
giraffe statues has leg,1
plant near trunk,1
eye with giraffe,1
pupil on giraffe,1
plant has large leaf,1
fountain in pond,1
is a pond,1
plant with large leaves next to pond,1
net strung tennis court,1
beak belonging to animal,1
headlight on fie truck,1
street lamp hanging from post,1
bear eye of polar bear,1
dog leaning on paw,1
bear nose of bear,1
table has right leg,1
table has left leg,1
girls hand belonging to girl,1
device has button,1
button eye on bear,1
bear wears clothes,1
glass near white plate,1
back belonging to car seat,1
bird has feathery tail,1
bird has red tail,1
bird has red foot,1
paper near desk,1
bike wheel on bicycle,1
bicycle seat on bike,1
square tiles on wall,1
rear windshield on truck,1
playing game of ball,1
bottle with wine,1
traffic sign with writing,1
giraffe spots on giraffe,1
floor lying bathroom,1
cabinet standing knob,1
wall standing window,1
trunk over baby elephant,1
cycle has front tire,1
foul line drawn on tennis court,1
black mane of zebra,1
female has ear,1
drop are water,1
bread with sugar,1
window on railway truck,1
sectional sofa room,1
nose on cattle,1
elephant throws eye,1
hallway on door,1
baseball diamond on baseball,1
tail on flight,1
engine of flight,1
baseball bat has hand,1
back foot of zebra,1
animal has left foot,1
mirror from motorcycle,1
nose of grown man,1
head of blackwhite dog,1
nose of blackwhite dog,1
ear of blackwhite dog,1
drivers door of car,1
large building on a downtown street,1
handle on kitchen cabinet,1
compuer keyboard has button,1
left leg on person,1
heel belonging to person,1
ear visible on sheep,1
sheeps leg has sheeps leg,1
goat has hind quarters,1
kid with ponytail,1
leg has horse,1
neck in foreground,1
wall in front of grass,1
leg zebra on neck,1
leg of leg zebra,1
clear light on bus,1
mirror on big bus,1
windshield of big bus,1
windshield on big bus,1
clear light on big bus,1
wheel on toy train,1
bus has drivers window,1
grass clump on ground,1
bull cows has horn,1
handle of satchel,1
tail light on white car,1
clock with clock hands,1
a small body of water,1
zebra dark stripe,1
zebra back stripe,1
babys eye of baby,1
finger has baby nail,1
bus has bus wheel,1
beach sand with water,1
wave ripple in water,1
airplane has jet engines,1
girl with tied back hair,1
fenceposts on edge,1
pavement on crack,1
buildingwindow of building,1
tire near motorcycle,1
net behind court,1
boys hand of boy,1
sleeve on blue shirt,1
pocket part of blue jeans,1
animal has giraffe leg,1
spot on back of giraffe,1
whitebowed window on building,1
nose of head,1
hind legs of horse,1
cabbage part of food,1
head has blond hair,1
rim attached to front wheel,1
fence protecting home,1
railway lines on track,1
shore near sea,1
headlight standing on train platform,1
people wearing hair,1
wing attached to bird,1
crust on baked pizza,1
horse has rump,1
tail in plane,1
tile wall of bathroom,1
side on stop sign,1
garage with stucture,1
pole surrounded by fence,1
entrance of train,1
teapot has top,1
license plate in drivers window,1
several windows near building,1
handle on doorway,1
back of baby bear,1
pipe of car,1
cow left ear,1
person using h hand,1
cow right ear,1
hair braided into ponytail,1
necktie worn on neck,1
crown above head,1
spot of baby giraffe,1
neck of baby giraffe,1
leg of baby giraffe,1
head of baby giraffe,1
a white vehicle license plate,1
door on structure,1
stripe of adult zebra,1
left leg of adult zebra,1
mouth of adult zebra,1
hoof on goat,1
plane tail on jet,1
elephant with trunk in mouth,1
elephant and tail of elephant to the left,1
curved tusks on elephant,1
water has small ripples,1
branch in sand,1
person has three set of teeth,1
tire on dirt bike,1
sun reflecting in water,1
handle to hold brush,1
center door of bus,1
clock with roman numbers,1
bus has large tire,1
rear side door of bus,1
side doors on bus,1
bus large window,1
bird with turned head,1
bus light on bus,1
head with whisker,1
fingernail on tip of hand,1
fingernail on end of finger,1
knuckle part of thumb,1
animal with brown eye,1
menu on cellphone,1
athlete has beard,1
bus wiper on bus wiper,1
animal with head down,1
door on stone building,1
headlight on on vehicle,1
hill on slope,1
leaf going on tree,1
toilet seat has toilet bowl,1
toilet seat on toilet seat,1
kitchen has stove top,1
ear of small dog,1
long tusk of elephant,1
dog sticking tongue,1
propeller part of plane,1
cloudy sky covered in cloud,1
guy with leg,1
trafficlight for train,1
water pipe of restroom,1
water pipe in restroom,1
bear feet has fur,1
bear has bear feet,1
line in baseball field,1
pencil sharpener with pencil shavings,1
glass next plate,1
left whiskers on cat,1
cats eye on face of cat,1
tree branch part of tree,1
tail feathers part of bird,1
people has left leg,1
mirror on blue car,1
reflection of something white on water,1
room in house,1
hunter has head,1
leaf mixed with grass,1
wave across ocean,1
umbrella held by hand,1
boy rubbing ear,1
taillight of truck,1
window of buiilding,1
trunk under tree,1
elephants mouth of elephant,1
elephant has elephant nose,1
elephant has elephants mouth,1
elephant has elephants jaw,1
tail light on a,1
tire on a,1
middle door on plane,1
mountain top covered with snow,1
motorbike has rim,1
the left hand of person,1
business sign with letter,1
person has skully,1
sauce has pizza,1
salad includes lettuce,1
window built into suv,1
wheel on school bus,1
wheel of school bus,1
seawater with reflection,1
grass patch in grass,1
radiator on car,1
human has leg,1
horse with sock,1
bed with mattress,1
tail of dead fish,1
tail part of fish,1
black wheel on wagon,1
people has right foot,1
people has grey hair,1
pole to hold sign,1
headlight of bicycle,1
sidewalk has paved area,1
window on bathroom wall,1
shoe laces tying boot,1
dark sky has cloud,1
person with her hair up,1
shoe laces in shoe,1
gill of fish,1
tail fin of fish,1
stripe of fish,1
fin of fish,1
wing on flamingo,1
jet engine mounted under wing,1
nose belonging to elephant,1
nose tucked under elephant,1
page from book,1
adult zebra has mane,1
boys hand belonging to a,1
bread made of bread,1
water among tree,1
cat has dogs nose,1
small wheel of plane,1
window attached plane,1
handle to open drawer,1
engine attached plane,1
wing attached plane,1
train wheels of train,1
hand part of girl,1
wheel on a,1
tail tip on a,1
clock built into face,1
balcony in front,1
light window on wall,1
leg of a standing person,1
airplane tail on airplane,1
back light of bus,1
bus tire of bus,1
beach in front water,1
cover on toilet lid,1
motorcycle has motorcycle wheel,1
toilet has portion,1
wall in area,1
elephant tusk attached to elephant,1
elephants tail on elephant,1
mopeds seat on motorcycle,1
motorcycle has mopeds seat,1
vein on ear,1
left light on bus,1
light on train train,1
pole near hedge,1
giraffes legs on giraffe,1
feather on body of bird,1
head submerged in water,1
foul line on field,1
hand belongs to clock,1
boys hair of boy,1
building stone building,1
passanger seat on motorcycle,1
sidecar attached to motorcycle,1
passanger seat of motorcycle,1
motorcycle with sidecar,1
tree has tree leaves,1
railroad tracks in curve,1
drivers window of train,1
eyelid with eyelash,1
animal has pupil,1
trunk of pine tree,1
line in eye,1
bird standing on foot,1
balcony atop tower,1
bear resting head,1
person wears blonde hair,1
oak tree with leaf,1
belly belonging to animal,1
chimney built on top of house,1
horn on hat,1
cat of paw,1
beak of toucan,1
the lid of toilet,1
train outside of window,1
finger on hand of person,1
locomotive has front light,1
carriage on locomotive,1
light on front locomotive,1
headlight front locomotive,1
laundry door has handle,1
left paw of grey bear,1
bears snout on bear,1
handle on laundry door,1
building has wall of glass,1
tailfin of airplane,1
aileron of wing,1
lighting for train,1
kite string attached to string,1
boat has white sail,1
licenseplate attached to car,1
person dressed in blouse,1
cloud dont block sun,1
nose of bear toy,1
animal with tail has tail,1
dining set has table,1
passageway leads to another room,1
cloud in cloudy skies,1
long line on road,1
person has womans shoulder,1
an empty patch of grass,1
ostrich on one leg,1
jacket made of fleece,1
line to street,1
front windshield on bike,1
corner post on building,1
there is brick on building,1
car hood on vehicle,1
car hood up on car,1
corner on door handle,1
plane has passenger windows,1
knob on door handle,1
knob on handle,1
chimney has pipe,1
headlight on station wagon,1
a blue and white train car,1
pitcher of liquid,1
church has large window,1
building in front of window,1
window in back of van,1
baby giraffe tail,1
hammer with head,1
coat of cat,1
cloud dominate sky,1
green tomato vine,1
person has top teeth,1
cabinet fronted by glass,1
cabinet has sliding doors,1
wheel on blue motorcycle,1
spot on plant,1
person ha teeth,1
trunk has lid,1
house made of siding,1
giraffe on rights mane,1
environment has water,1
the headlight on motorcycle,1
cabin of plane,1
white zebra stripe,1
front zebra hoof,1
black zebra stripe,1
many white cloud,1
zebra front hoof,1
cow has animal,1
grass s in field,1
mustache s on face,1
bird on one leg,1
double window in building,1
hair black person,1
moss covered branch,1
tree that have leaf,1
grass to left of hill,1
spokes wheel on bike,1
horn on nose,1
plane door of airplane,1
glass window rests on building,1
basin of water,1
ear on right dog,1
eye on left of dog,1
floor surrounding toilet,1
glass window across from bus,1
door entry of building,1
glass window on engine,1
window extending from building,1
peak highest point of roof,1
person wearing teeth,1
black skateboard has white wheel,1
door frame on building,1
dog with perked left ear,1
dog with perked ear,1
blind down window,1
foliage among grass,1
lamp in lamp shade,1
house has stone,1
branch held by trunk,1
fuselage on aircraft,1
arm connected to person,1
knob part of door,1
a building with a tin roof,1
a black and white zebra,1
the head of zebra,1
a near zebra,1
leaf on banana bunch,1
window in side building,1
swimming pool has water,1
light on bicycle vehicle,1
wood cabinets made out of wood,1
surfboard on fin,1
zebra has zebra hooves,1
line ripples water,1
window set on house,1
car has lit headlight,1
kittys whiskers of cat,1
door opened on car,1
kittys whiskers on cat,1
tennis ball on air,1
bird has gray wings,1
sea full of wave,1
book on shelves girl,1
water follow wave,1
sea has water,1
windowframe on wall,1
flooring in building,1
door on railcar,1
rind under cantaloupe,1
moss in tree,1
infield of baseball field,1
drawer handle on desk,1
lights on back back of bus lights on bus,1
toaster has door,1
wheel has metal rim,1
boy with light colored hair,1
girl with lip,1
bird has multicolored feather,1
bird has a feathered wing,1
bird has a pointed beak,1
bird with an open beak,1
zebra opening mouth,1
zebra head has mouth,1
eye of small bird,1
beak of small bird,1
bird has clawed foot,1
bird has a small head,1
beak of bird open,1
bird has white chest feather,1
bird has a claw foot,1
bird has opened its beak,1
bird has feathers on tail,1
bird has a small eye,1
flap of wing,1
glass on airplane window,1
airplane window near airplane,1
interior wall on building,1
pavement near street,1
water between wave,1
finger of mans hand,1
glass window in room,1
chair on leg,1
window at side of train,1
microwave has white button,1
bus front has window,1
bus stop in area,1
racket on players hand,1
window with bus,1
black motorcycle has wheel,1
branch above tree,1
planes nose has planes nose,1
windshield wiper above windshield,1
elephant has black eye,1
writing on t shirt,1
square window on train,1
horse has a white mane,1
hoof of horse to right,1
front leg of horse to right,1
nose of horse to right,1
stone wall in front house,1
collar hanging over shirt,1
light over motorcycle,1
motorcycle ha wheel,1
side of face of dog,1
mane runs down neck,1
vegetation within pond,1
pond has waterfall,1
vegetation surrounds pond,1
rock reflection on waters surface,1
pattern on bird,1
boat has sits,1
right horn on hat,1
stalk with green leaf,1
feather cover bird,1
left horn on hat,1
horn on mans head,1
grain in wood,1
television in photo,1
shore at beach,1
patch of hair on head,1
pole behind chain link fence,1
glass with plant,1
pole near chain link fence,1
tennis court has boundary line,1
phone has microphone,1
book shelf has compartment,1
spot on two giraffes,1
animal nose and mouth,1
animal mouth and nose,1
animal long leg,1
giraffe four leg,1
two giraffes has two horns,1
giraffe 2 has two horns,1
ear on giraffe 2,1
door leads to room,1
head on two giraffes,1
head on giraffe 2,1
jet has four wings,1
plane higher tail,1
plane has lower tail,1
road paved with asphalt,1
number of license plate,1
bus near streetlight,1
door for aircraft,1
rock on soil,1
wagon for container,1
faucet on counter top,1
nail on persons thumb,1
juice of berry,1
finger has object,1
tail light in rear,1
railroad tracks to right of train,1
train pass track,1
train in railway,1
finger near spoon,1
right front tire on truck,1
horsedog has head,1
ear of horsedog,1
tail of horsedog,1
horsedog with eye,1
leg on horsedog,1
horsedog has tail,1
horsedog has fur,1
glass front building,1
foot on puffin,1
onoff button remote,1
giraffe has little knobs,1
giraffe has black spot,1
giraffe right hind leg,1
hindlegs of zebra,1
banana in skin,1
skin on hand,1
hair grows on head,1
pizza made of cheese,1
nose cone on plane,1
pole has arm,1
paw is white cat white cat has a paw,1
cork near bottle,1
vegetation on dune,1
paper under desk,1
person have something in mouth,1
clothing item near belt,1
bear covered with hair,1
raspberry with stem,1
eye has spot,1
spacebar on computer keyboard,1
giraffe lower leg,1
calf has hair,1
long hand on clock,1
building has window hole,1
metal handle on top drawer,1
three lights on motorcycle,1
line to divide road,1
house has metal fence,1
step at front of train,1
wheel on railway,1
metal fence near house,1
faucet has single handle,1
building can be see front window,1
red train door,1
people in in water,1
bird tail feather,1
bird standing with wing,1
bird about to fly,1
pole has portion,1
control knob in front of stove,1
hubcap has hubcap,1
car has back windshield,1
siding train door,1
long train car,1
track in trainyard,1
old train car,1
several train track,1
leg under baby bear,1
engine running plane,1
melted pizza cheese,1
curb has sidewalk,1
mirror placed on car,1
bridge ends in nose,1
building has part of roof,1
cabinet has interior,1
lady has frizzy hair,1
line in street street,1
cup in liquid,1
wire across ceiling,1
wiper on rear,1
bus has many windows,1
grass on ball field,1
mound beneath pitcher,1
many windows on bus,1
window near frame,1
frame along window,1
windshield on motorcyclist,1
white glass plate,1
boy has little arm,1
wood brown table,1
plane of tail,1
street line on street,1
leg is wooden chair has leg chair,1
person has bushy hair,1
railroad has light,1
door has handle handle on door door is handled,1
leg is brown chair has leg chair,1
banana peels end,1
window top of house,1
wheel of mountain bikes,1
mane along head,1
mane along head of zebra,1
traffic light near truck,1
handle on outside of suitcase,1
boat powered by motor,1
vegetation in area,1
train has train headlights,1
vehicle licence plate,1
tree with fallen branch,1
gravel fronts shore,1
boy wearing earmuff,1
clock has alarm,1
street road has line,1
tip of foliage,1
foliage of leaf,1
leaf and flower,1
strand of leaf,1
light near bicycle,1
person can see,1
sidewalk near by street,1
street near by sidewalk,1
crossing sign near pole,1
skater in shoe,1
window near home,1
baby elephant in photo,1
mother elephant has trunk,1
baby elephant under trunk,1
fern in sides of flower,1
stem leads to flower,1
lamp has plug,1
house has jalousie type window,1
basket over sink,1
windscreen in bus,1
arm on someone,1
truck near trailer,1
a red and white train car,1
clothing on shoulder,1
claw of paw,1
person dark facial hair,1
person right right ear,1
skin in orange,1
engine leading train,1
boy has h hand,1
personwater in water,1
one car attached to back of train engine,1
face on black clock,1
grass in rock wall,1
tennis court with player,1
street lamp with post,1
parrot on feather,1
flask has liquid,1
telephone with handset,1
bathtub of bathroom,1
duck with leg,1
scene of river,1
collar has shirt,1
cow has arm,1
collar under jacket,1
row of grass,1
horn on deer,1
train with yellow doors,1
vehicle on trailer,1
black seat in motorcycle,1
thumb behind finger,1
some books on desk,1
foot pointed person,1
white skies are overhead,1
window near side,1
flower in front of bush,1
fingernale of person,1
bear with left ear,1
cat cat eye,1
wheel of pick up truck,1
round window on house,1
horn nub on h head,1
line painted on  street,1
human on sign,1
wing on plane tail,1
car has its light,1
arm on front,1
stern on river boat,1
clock containing number,1
leg belongs striped zebra,1
striped zebra has leg,1
nose to zebra,1
eye to striped zebra,1
ear belong to zebra,1
pavement in middle of pavement,1
clock on machine,1
bus with rear tire,1
tire on rear of bus,1
window near buildling,1
staircase behind railing,1
flush handle attached toilet,1
ocean with tall wave,1
grey tongue on giraffe,1
white clouds in pink sky,1
cloud in pink sky,1
tree trunk with surrounding branch,1
window of buildingswindows,1
buildingswindows has window,1
elephant leading with foot,1
white clouds in cloudy sky,1
petal of daisy,1
see window building has window window in edifice,1
pole with open sign,1
train engine on car,1
see headlight car has headlight headlight on car,1
glass window on airplane,1
airplane has small window,1
airplane has glass window,1
person has something,1
leaf off branch,1
persons finger of persons finger,1
sign has letter p,1
tree past water,1
chair has backing,1
gray hair of person,1
patch between leg,1
baseball bat with handle grip,1
cat ear belonging to cat,1
hand persons hand,1
eyelid of person,1
person expressing mouth,1
mast near boat,1
kitchen drawer has handle,1
head similar penguin,1
male has mouth,1
eye on mans face,1
giraffes mouth of giraffe,1
palm tree has palm fronds,1
kite with fin,1
slat on fencing,1
shoulder of human,1
sign on white pole,1
sleeve with cuff,1
lampshade covers lamp,1
plate edge on plate edge,1
long hair on human,1
whisker part of dogs face,1
leg part of dog,1
letter on bus front,1
tire apart of motorcycle,1
ocean waves in image,1
neck belonging to bull,1
person has neck chain,1
mountain snow on mountain,1
cloud hanging over mountain,1
mountain snow covered snowcovered,1
teeth on skull,1
shower covered curtain,1
hind quarters of zebra,1
a zebras head,1
window of indoors,1
entry door on bus,1
bus front windshield,1
white pane in window,1
tree of leaf,1
plane on air,1
brown truck has front tire,1
pane on screen,1
bear has front foot,1
light on truck bed,1
letter on string,1
mane of adult zebra,1
leg on baby zebra,1
bird has skinny legs,1
ear on adult zebra,1
knob for opening door,1
open door on train car,1
ear on brown cat,1
brown truck has tire,1
sole in shoe,1
bear dressed in clothing,1
refrigerator magnet on fridge,1
teapot with spout,1
leaf to stem,1
bay of water,1
chair has five leg,1
three zebras has mane,1
paw print on bear,1
womans hair belonging to person,1
womans hair on head,1
futon has frame,1
face attached to cat,1
ear in elephant,1
mustard drizzled on hot dog,1
spot lights on train,1
headlight on yellow train,1
design in back of tshirt,1
spot in trunk,1
pitchers mound of dirt,1
building attached to window,1
knee of squating person,1
small building with angled roof,1
person wearing womans wrist,1
bus at traffic light,1
bull has bushy tail,1
cow horns of cow,1
flower among grass blades,1
sofa in living roome,1
cushion in corner of sofa,1
person wearing cowboy boot,1
lobster near claw,1
rim on truck tire,1
armpit belonging to person,1
hair growing in armpit,1
ear of sleeping cat,1
neck down on giraffe,1
cheese with bread,1
tail hanging from elephant,1
mound amidst field,1
skin in elephant,1
jet planes engine,1
jet of engine,1
tailwing on airplane,1
beach near ocean water,1
hand pointing on clock,1
mountaintops in snow,1
white clouds over mountain,1
engine underneath plane wing,1
person on lip,1
foot belongs to bear,1
license plate back of bus,1
tire on tour bus,1
window in side of bus,1
license plate front truck,1
the post of fence,1
a white dog paw,1
dog mouth and nose of dog,1
nose belong to plane,1
engine belong to plane,1
wing belong to plane,1
elephant kicking back leg,1
roof covered building,1
fruit of food,1
sign on pole pole holds sign see poles sign,1
window on back van,1
a mouth and nose of sheep,1
a hoof of sheep,1
kite clipped to string,1
spout on teapot,1
sky reflected on water,1
plate in wall,1
leg with pant leg,1
windshield of tour bus,1
sandy beach near water,1
sand near water edge,1
water on sandy beach,1
handle of  blueblack racket,1
pink flower on green stem,1
field in vegetation,1
leg lying giraffe,1
fat legs of elephant,1
table leg supporting table,1
living room in house,1
small window in room,1
train window near train window,1
teal train has window,1
window near teal train,1
train window on teal train,1
train window near window,1
train window near teal train,1
blue car of train cars,1
front window of train car,1
stem supporting flower,1
tail light on red car,1
train car down track,1
windshield of train cars,1
intersection of two road,1
road lines on street,1
eye closed on bear,1
building in an old city,1
shovel has handle,1
bottom jaw of polar bear,1
leg on left of bear,1
train on tracks track,1
dog with nail,1
hole in guitar,1
house behind wooden fence,1
dog with left paw,1
foot to person,1
plane has plane window,1
propeller spinning on plane,1
railing in stairway,1
land near pasture,1
leaf cover leaf,1
people fishing water,1
ocean with shoreline,1
tree branches of tree,1
person near fence post,1
giraffe neck with marking,1
window on passenger van,1
pan with black handle,1
shower curtain behind toilet,1
baseball diamond on baseball field,1
a blue cloudy sky,1
motor and propeller,1
reflection on top ofto water,1
white clouds over mountain range,1
pin with head,1
wheel connected train,1
horn attached to sheep,1
ripple in surface,1
hand on black clock,1
paw in animal,1
medicine cabinet has door,1
brick along building,1
green leaves on small tree,1
fur covering skin,1
front leg on polar bear,1
chimney on building roof,1
tire in bus,1
clock has silver hand,1
finger on bat,1
dog in dog coat,1
key has number sign,1
space bar at bottom of keyboard,1
keyboard built into computer,1
person has mans nose,1
lamp has shade cover,1
door on side building,1
wheel on bottom skateboard,1
fencing from house,1
cat leaning on ear,1
person at hand,1
person with blue eyes,1
face on black sheep,1
sand in seashore,1
body has black hair,1
shovel with handle,1
license plate placed on car,1
baby bear has black ear,1
bird balancing on foot,1
house window on house,1
